Provider No,Provider Name,Program No,Program Name,Program Type,Service Type,Zip Code of Residence at Admission,Admissions
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11201,8
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11203,11
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11204,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11205,10
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11206,25
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11207,32
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11208,17
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11209,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11210,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11211,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11212,20
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11213,14
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11214,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11215,7
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11216,21
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11217,13
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11218,9
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11219,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11220,11
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11221,19
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11222,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11223,8
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11224,7
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11225,14
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11226,15
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11229,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11230,6
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11231,7
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11232,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11233,30
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11234,6
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11235,7
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11236,23
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11237,8
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11238,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11239,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11249,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11355,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11378,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11385,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11411,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11412,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11413,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11421,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11423,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11434,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11550,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11691,
80,"Counseling Service of E.D.N.Y., Inc.",6285,Counseling Service of E.D.N.Y. OP 2,Outpatient Services,Med Sup Outpatient,11701,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10003,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10009,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10010,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10016,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10035,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10036,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10452,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10453,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10456,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10459,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10468,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,10475,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11101,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11201,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11203,20
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11204,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11205,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11206,19
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11207,7
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11208,6
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11209,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11210,7
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11211,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11212,28
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11213,24
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11214,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11215,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11216,33
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11217,6
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11218,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11220,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11221,9
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11222,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11224,9
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11225,18
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11226,11
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11229,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11230,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11231,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11232,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11233,19
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11234,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11235,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11236,16
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11237,12
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11238,7
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11239,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11422,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11432,
80,"Counseling Service of E.D.N.Y., Inc.",51993,Counseling Service of E.D.N.Y. OP,Outpatient Services,Med Sup Outpatient,11434,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10001,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10004,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10016,11
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10022,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10030,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10032,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10035,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10040,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10303,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10304,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10314,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10452,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10455,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10459,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,10468,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11003,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11101,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11102,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11103,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11104,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11106,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11205,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11206,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11207,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11208,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11209,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11211,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11212,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11213,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11216,7
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11219,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11221,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11222,6
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11225,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11231,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11233,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11234,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11237,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11354,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11355,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11356,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11357,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11358,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11360,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11361,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11364,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11365,12
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11366,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11367,7
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11368,9
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11369,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11372,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11373,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11374,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11377,6
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11379,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11385,10
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11411,17
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11412,37
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11413,41
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11414,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11415,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11416,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11417,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11418,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11419,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11420,12
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11421,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11422,52
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11423,23
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11426,
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11427,17
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11428,9
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11429,26
80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Outpatient Services,Med Sup Outpatient,11430,
