Year,Provider No,Provider Name,Program No,Program Name,County,Current Community District,Street Address,City,Zip Code,Program Type,Service Type,Current Status,Average Daily Enrollment
2010,80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Queens,412,163‐18 Jamaica Ave,Jamaica,11432,Outpatient,Outpatient Clinic,Operational,80
2015,80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Queens,412,163‐18 Jamaica Ave,Jamaica,11432,Outpatient,Outpatient Clinic,Operational,152
2019,80,"Counseling Service of E.D.N.Y., Inc.",52083,Counseling Service of E.D.N.Y. OP 1,Queens,412,163‐18 Jamaica Ave,Jamaica,11432,Outpatient,Outpatient Clinic,Operational,234
2010,105,Dynamic Youth Community Inc,528,Dynamic Youth Community Inc OP,Kings,312,1830 Coney Island Ave,Brooklyn,11230,Outpatient,Outpatient Clinic,Operational,67
2015,105,Dynamic Youth Community Inc,528,Dynamic Youth Community Inc OP,Kings,312,1830 Coney Island Ave,Brooklyn,11230,Outpatient,Outpatient Clinic,Operational,83
2019,105,Dynamic Youth Community Inc,528,Dynamic Youth Community Inc OP,Kings,312,1830 Coney Island Ave,Brooklyn,11230,Outpatient,Outpatient Clinic,Operational,70
2010,105,Dynamic Youth Community Inc,52160,Dynamic Youth CR,Kings,312,1830 Coney Island Ave,Brooklyn,11230,Residential,Community Residential,Operational,14
2015,105,Dynamic Youth Community Inc,52160,Dynamic Youth CR,Kings,312,1830 Coney Island Ave,Brooklyn,11230,Residential,Community Residential,Operational,15
2019,105,Dynamic Youth Community Inc,52160,Dynamic Youth CR,Kings,312,1830 Coney Island Ave,Brooklyn,11230,Residential,Community Residential,Operational,16
2010,114,"Elmcor Youth and Adult Activities, Inc",458,Elmcor Youth & Adult Activities OP,Queens,403,107‐20 Northern Blvd,Corona,11368,Outpatient,Outpatient Clinic,Operational,80
2015,114,"Elmcor Youth and Adult Activities, Inc",458,Elmcor Youth & Adult Activities OP,Queens,403,107‐20 Northern Blvd,Corona,11368,Outpatient,Outpatient Clinic,Operational,67
2019,114,"Elmcor Youth and Adult Activities, Inc",458,Elmcor Youth & Adult Activities OP,Queens,403,107‐20 Northern Blvd,Corona,11368,Outpatient,Outpatient Clinic,Operational,58
2010,114,"Elmcor Youth and Adult Activities, Inc",1283,Elmcor Youth & Adult Activities IR,Queens,403,107‐06 Northern Blvd.,Corona,11368,Residential,Intensive Residential,Operational,44
2015,114,"Elmcor Youth and Adult Activities, Inc",1283,Elmcor Youth & Adult Activities IR,Queens,403,107‐06 Northern Blvd.,Corona,11368,Residential,Intensive Residential,Operational,45
2019,114,"Elmcor Youth and Adult Activities, Inc",1283,Elmcor Youth & Adult Activities IR,Queens,403,107‐06 Northern Blvd.,Corona,11368,Residential,Intensive Residential,Operational,45
2010,166,"PROMESA, Inc.",2,"PROMESA, Inc. RRSY",Bronx,205,311 E 175th St,Bronx,10457,Residential,Residential Rehab for Youth,Operational,23
2015,166,"PROMESA, Inc.",2,"PROMESA, Inc. RRSY",Bronx,205,311 E 175th St,Bronx,10457,Residential,Residential Rehab for Youth,Operational,36
2019,166,"PROMESA, Inc.",2,"PROMESA, Inc. RRSY",Bronx,205,311 E 175th St,Bronx,10457,Residential,Residential Rehab for Youth,Operational,24
2010,166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,205,1776 Clay Ave,Bronx,10457,Opioid Treatment Program,MAOT‐A‐Residential,Operational,102
2015,166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,205,1776 Clay Ave,Bronx,10457,Opioid Treatment Program,MAOT‐A‐Residential,Operational,107
2019,166,"PROMESA, Inc.",1183,"PROMESA, Inc. MTA‐R",Bronx,205,1776 Clay Ave,Bronx,10457,Opioid Treatment Program,MAOT‐A‐Residential,Operational,104
2010,166,"PROMESA, Inc.",1185,"PROMESA, Inc. OTP",Bronx,205,1776 Clay Ave,Bronx,10457,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,534
2015,166,"PROMESA, Inc.",1185,"PROMESA, Inc. OTP",Bronx,205,1776 Clay Ave,Bronx,10457,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,547
2019,166,"PROMESA, Inc.",1185,"PROMESA, Inc. OTP",Bronx,205,1776 Clay Ave,Bronx,10457,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,605
2010,166,"PROMESA, Inc.",6832,"PROMESA, Inc. OP",Bronx,205,1776 Clay Ave,Bronx,10457,Outpatient,Outpatient Clinic,Operational,99
2015,166,"PROMESA, Inc.",6832,"PROMESA, Inc. OP",Bronx,205,1776 Clay Ave,Bronx,10457,Outpatient,Outpatient Clinic,Operational,104
2019,166,"PROMESA, Inc.",6832,"PROMESA, Inc. OP",Bronx,205,1776 Clay Ave,Bronx,10457,Outpatient,Outpatient Clinic,Operational,105
2010,166,"PROMESA, Inc.",52099,"PROMESA, Inc. MSW‐IP",Bronx,205,1776 Clay Ave,Bronx,10457,Crisis,Med Sup Withdrawal ‐ Inpatient,Operational,20
2015,166,"PROMESA, Inc.",52099,"PROMESA, Inc. MSW‐IP",Bronx,205,1776 Clay Ave,Bronx,10457,Crisis,Med Sup Withdrawal ‐ Inpatient,Operational,21
2019,166,"PROMESA, Inc.",52099,"PROMESA, Inc. MSW‐IP",Bronx,205,1776 Clay Ave,Bronx,10457,Crisis,Med Sup Withdrawal ‐ Inpatient,Operational,22
2010,166,"PROMESA, Inc.",52108,"PROMESA, Inc. IP",Bronx,205,1776 Clay Ave,Bronx,10457,Inpatient Treatment,Inpatient Rehabilitation,Operational,18
2015,166,"PROMESA, Inc.",52108,"PROMESA, Inc. IP",Bronx,205,1776 Clay Ave,Bronx,10457,Inpatient Treatment,Inpatient Rehabilitation,Operational,20
2019,166,"PROMESA, Inc.",52108,"PROMESA, Inc. IP",Bronx,205,1776 Clay Ave,Bronx,10457,Inpatient Treatment,Inpatient Rehabilitation,Operational,21
2015,166,"PROMESA, Inc.",52884,"PROMESA, Inc. OTP 1",Kings,306,561 Court St,Brooklyn,11231,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,707
2019,166,"PROMESA, Inc.",52884,"PROMESA, Inc. OTP 1",Kings,306,561 Court St,Brooklyn,11231,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,772
2015,166,"PROMESA, Inc.",52898,"PROMESA, Inc. OP 2",Kings,306,561 Court St,Brooklyn,11231,Outpatient,Outpatient Clinic,Operational,26
2019,166,"PROMESA, Inc.",52898,"PROMESA, Inc. OP 2",Kings,306,561 Court St,Brooklyn,11231,Outpatient,Outpatient Clinic,Operational,31
2015,166,"PROMESA, Inc.",52899,Freedom House SL 21,Kings,316,1881 Pitkin Ave,Brooklyn,11212,Residential,Supportive Living,Closed,6
2015,166,"PROMESA, Inc.",52900,Freedom House SL 20,Kings,316,367‐369 Howard Ave,Brooklyn,11233,Residential,Supportive Living,Closed,3
2015,166,"PROMESA, Inc.",52901,Freedom House SL 15,Kings,303,283 Malcolm X Blvd,Brooklyn,11233,Residential,Supportive Living,Closed,0
2015,166,"PROMESA, Inc.",52902,Freedom House SL 14,Kings,303,884 Jefferson Ave,Brooklyn,11221,Residential,Supportive Living,Closed,0
2015,166,"PROMESA, Inc.",52903,Freedom House SL 13,Kings,317,171 Linden Blvd,Brooklyn,11226,Residential,Supportive Living,Closed,0
2015,166,"PROMESA, Inc.",52904,Freedom House SL 7,Kings,303,1240 Broadway,Brooklyn,11221,Residential,Supportive Living,Closed,0
2019,166,"PROMESA, Inc.",52934,Ramon Velez Recovery Center OTP,Bronx,201,754 E 151st St,Bronx,10455,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,610
2019,166,"PROMESA, Inc.",53022,Ramon Velez Recovery Center OP,Bronx,201,754 E 151st St,Bronx,10455,Outpatient,Outpatient Clinic,Operational,75
2010,238,"Phase: Piggy Back, Inc",4161,Phase:Piggy Back ‐ CD OP,New York,109,507 West 145th Street,New York,10031,Outpatient,Outpatient Clinic,Closed,72
2010,238,"Phase: Piggy Back, Inc",6871,Piggy Back‐Striver Hse‐CD Int Res Reh,New York,109,202‐204 Edgecombe Ave.,New York,10030,Residential,Intensive Residential,Closed,53
2010,296,"Create, Inc.",167,"Create, Inc. IR",New York,110,121‐123 W 111th St,New York,10026,Residential,Intensive Residential,Closed,45
2015,296,"Create, Inc.",167,"Create, Inc. IR",New York,110,121‐123 W 111th St,New York,10026,Residential,Intensive Residential,Closed,46
2010,296,"Create, Inc.",658,"Create, Inc. OP",New York,110,73‐75 Lenox Avenue,New York,10026,Outpatient,Outpatient Clinic,Operational,154
2015,296,"Create, Inc.",658,"Create, Inc. OP",New York,110,73‐75 Lenox Avenue,New York,10026,Outpatient,Outpatient Clinic,Operational,118
2019,296,"Create, Inc.",658,"Create, Inc. OP",New York,110,73‐75 Lenox Avenue,New York,10026,Outpatient,Outpatient Clinic,Operational,62
2019,296,"Create, Inc.",53116,"Create, Inc. RR",New York,110,121‐123 W 111th St,New York,10026,Residential,820 Rehab and Reintegration,Operational,37
2010,325,Vocational Instruction Proj Commun Srv,670,"VIP Community Services, Inc. OTP",Bronx,206,770 E 176th St,Bronx,10460,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,962
2015,325,Vocational Instruction Proj Commun Srv,670,"VIP Community Services, Inc. OTP",Bronx,206,770 E 176th St,Bronx,10460,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,988
2019,325,Vocational Instruction Proj Commun Srv,670,"VIP Community Services, Inc. OTP",Bronx,206,770 E 176th St,Bronx,10460,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,"1,344"
2010,325,Vocational Instruction Proj Commun Srv,2556,VIP Community Services Women IR,Bronx,206,716 Fairmount Pl,Bronx,10457,Residential,Intensive Residential,Closed,36
2015,325,Vocational Instruction Proj Commun Srv,2556,VIP Community Services Women IR,Bronx,206,716 Fairmount Pl,Bronx,10457,Residential,Intensive Residential,Closed,37
2010,325,Vocational Instruction Proj Commun Srv,4026,VIP Comm Service‐Males‐CDInt Res Rehab,Bronx,206,1790 Marmion Ave.,Bronx,10460,Residential,Intensive Residential,Closed,54
2010,325,Vocational Instruction Proj Commun Srv,4368,VIP Comm Service‐Male‐CD Int Res Rehab,Bronx,206,849 Crotona Park North,Bronx,10460,Residential,Intensive Residential,Closed,6
2010,325,Vocational Instruction Proj Commun Srv,6868,VIP Community Services OP,Bronx,206,770 E 176th St,Bronx,10460,Outpatient,Outpatient Clinic,Operational,142
2015,325,Vocational Instruction Proj Commun Srv,6868,VIP Community Services OP,Bronx,206,770 E 176th St,Bronx,10460,Outpatient,Outpatient Clinic,Operational,119
2019,325,Vocational Instruction Proj Commun Srv,6868,VIP Community Services OP,Bronx,206,770 E 176th St,Bronx,10460,Outpatient,Outpatient Clinic,Operational,85
2010,325,Vocational Instruction Proj Commun Srv,51782,Vocational Instruction Proj CR,Bronx,212,671 E 231st St,Bronx,10466,Residential,Community Residential,Closed,14
2015,325,Vocational Instruction Proj Commun Srv,52609,VIP Men's Residence IR,Bronx,206,764 E 176th St,Bronx,10460,Residential,Intensive Residential,Closed,77
2019,325,Vocational Instruction Proj Commun Srv,53042,VIP Community Services SRR,Bronx,206,764 E 176th St,Bronx,10460,Residential,820 Stabil Rehab Reintegration,Operational,66
2019,325,Vocational Instruction Proj Commun Srv,53043,VIP Community Services RR,Bronx,206,716 Fairmount Pl,Bronx,10457,Residential,820 Rehab and Reintegration,Operational,37
2010,330,"United Bronx Parents, Inc",5750,Lorraine Montenegro Women/Children IR,Bronx,201,773 Prospect Ave,Bronx,10455,Residential,Intensive Residential,Operational,27
2015,330,"United Bronx Parents, Inc",5750,Lorraine Montenegro Women/Children IR,Bronx,201,773 Prospect Ave,Bronx,10455,Residential,Intensive Residential,Operational,32
2019,330,"United Bronx Parents, Inc",5750,Lorraine Montenegro Women/Children IR,Bronx,201,773 Prospect Ave,Bronx,10455,Residential,Intensive Residential,Operational,34
2010,330,"United Bronx Parents, Inc",7258,La Casita III‐The Mix IR 1,Bronx,201,1006 E 151st St,Bronx,10455,Residential,Intensive Residential,Operational,17
2015,330,"United Bronx Parents, Inc",7258,La Casita III‐The Mix IR 1,Bronx,201,1006 E 151st St,Bronx,10455,Residential,Intensive Residential,Operational,18
2019,330,"United Bronx Parents, Inc",7258,La Casita III‐The Mix IR 1,Bronx,201,1006 E 151st St,Bronx,10455,Residential,Intensive Residential,Operational,18
2010,330,"United Bronx Parents, Inc",51971,"United Bronx Parents, Inc. OP",Bronx,202,966 Prospect Ave,Bronx,10459,Outpatient,Outpatient Clinic,Closed,97
2015,330,"United Bronx Parents, Inc",51971,"United Bronx Parents, Inc. OP",Bronx,202,966 Prospect Ave,Bronx,10459,Outpatient,Outpatient Clinic,Closed,42
2010,336,Samaritan Village,122,Veritas Therapeutic ‐ CD Int Res Rehab,New York,107,68 West 106th Street,New York,10025,Residential,Intensive Residential,Closed,61
2010,336,Samaritan Village,6695,Veritas Therapeutic‐ CD Int Res Rehab,New York,107,119‐121 West 106th Street,New York,10025,Residential,Intensive Residential,Closed,30
2010,336,Samaritan Village,51952,Veritas Therapeutic Comm. ‐ CD OP,New York,110,55 West 125th Street,New York,10027,Outpatient,Outpatient Clinic,Closed,149
2010,544,"Vera Institute of Justice, Inc.",7373,Vera Institute of Justice SpOP‐M,New York,101,80 Broad Street,New York,10004,Outpatient,Specialized Outpatient ‐ Mobile,Closed,37
2010,549,"Carnegie Hill Institute, Inc.",1472,"Carnegie Hill Institute, Inc. OTP",New York,108,116 E 92nd St,New York,10128,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,200
2015,549,"Carnegie Hill Institute, Inc.",1472,"Carnegie Hill Institute, Inc. OTP",New York,108,116 E 92nd St,New York,10128,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,189
2019,549,"Carnegie Hill Institute, Inc.",1472,"Carnegie Hill Institute, Inc. OTP",New York,108,116 E 92nd St,New York,10128,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,205
2010,549,"Carnegie Hill Institute, Inc.",7335,Carnegie Hill Institute OP,New York,108,116 E 92nd St,New York,10128,Outpatient,Outpatient Clinic,Operational,82
2015,549,"Carnegie Hill Institute, Inc.",7335,Carnegie Hill Institute OP,New York,108,116 E 92nd St,New York,10128,Outpatient,Outpatient Clinic,Operational,49
2019,549,"Carnegie Hill Institute, Inc.",7335,Carnegie Hill Institute OP,New York,108,116 E 92nd St,New York,10128,Outpatient,Outpatient Clinic,Operational,80
2010,550,Harlem East Life Plan,1473,Harlem East Life Plan OTP,New York,111,2369 2nd Ave,New York,10035,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,451
2015,550,Harlem East Life Plan,1473,Harlem East Life Plan OTP,New York,111,2369 2nd Ave,New York,10035,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,409
2019,550,Harlem East Life Plan,1473,Harlem East Life Plan OTP,New York,111,2369 2nd Ave,New York,10035,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,471
2010,550,Harlem East Life Plan,1474,Harlem East Life Plan OTP 1,New York,111,2369 2nd Ave,New York,10035,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,443
2015,550,Harlem East Life Plan,1474,Harlem East Life Plan OTP 1,New York,111,2369 2nd Ave,New York,10035,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,387
2019,550,Harlem East Life Plan,1474,Harlem East Life Plan OTP 1,New York,111,2369 2nd Ave,New York,10035,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,488
2010,550,Harlem East Life Plan,7340,Harlem East Life Plan KEEP,New York,111,2369 2nd Ave,New York,10035,Opioid Treatment Program,Methadone KEEP,Operational,8
2019,550,Harlem East Life Plan,7340,Harlem East Life Plan KEEP,New York,111,2369 2nd Ave,New York,10035,Opioid Treatment Program,Methadone KEEP,Operational,0
2010,550,Harlem East Life Plan,51840,Harlem East Life Plan (HELP) OP,New York,111,2367‐2369 2nd Ave,New York,10035,Outpatient,Outpatient Clinic,Operational,292
2015,550,Harlem East Life Plan,51840,Harlem East Life Plan (HELP) OP,New York,111,2367‐2369 2nd Ave,New York,10035,Outpatient,Outpatient Clinic,Operational,413
2019,550,Harlem East Life Plan,51840,Harlem East Life Plan (HELP) OP,New York,111,2367‐2369 2nd Ave,New York,10035,Outpatient,Outpatient Clinic,Operational,307
2010,552,"Massimo P. Degiarde, M.D., P.C.",1476,"Massimo P. Degiarde, M.D.‐ MMTP Clinic",New York,102,233‐5 Lafayette Street,New York,10012,Opioid Treatment Program,Opioid Outpatient Treatment,Closed,503
2010,553,South Brooklyn Medical Admin Srvs Inc.,1479,S Brooklyn Medical Admin Srvs Inc. OTP,Kings,307,685 3rd Avenue,Brooklyn,11232,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,530
2015,553,South Brooklyn Medical Admin Srvs Inc.,1479,S Brooklyn Medical Admin Srvs Inc. OTP,Kings,307,685 3rd Avenue,Brooklyn,11232,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,370
2019,553,South Brooklyn Medical Admin Srvs Inc.,1479,S Brooklyn Medical Admin Srvs Inc. OTP,Kings,307,685 3rd Avenue,Brooklyn,11232,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,328
2010,553,South Brooklyn Medical Admin Srvs Inc.,6977,S Brooklyn Medical Admin Srv‐MMTP/KEEP,Kings,307,685 3rd Avenue,Brooklyn,11232,Opioid Treatment Program,Methadone KEEP,Closed,5
2010,556,"Gramercy Park Medical Group, P.C.",1484,Gramercy Park Medical Grp‐ MMTP Clinic,New York,106,255 Third Ave.,New York,10010,Opioid Treatment Program,Opioid Outpatient Treatment,Closed,74
2010,587,"New York Therapeutic Communities, Inc.",5682,Serendipity I John David Cntr IR,Kings,316,2071 Fulton St,Brooklyn,11233,Residential,Intensive Residential,Operational,49
2015,587,"New York Therapeutic Communities, Inc.",5682,Serendipity I John David Cntr IR,Kings,316,2071 Fulton St,Brooklyn,11233,Residential,Intensive Residential,Operational,53
2019,587,"New York Therapeutic Communities, Inc.",5682,Serendipity I John David Cntr IR,Kings,316,2071 Fulton St,Brooklyn,11233,Residential,Intensive Residential,Operational,51
2010,587,"New York Therapeutic Communities, Inc.",7191,Serendipity II Madeline Randers Ctr IR,Kings,303,944 Bedford Ave,Brooklyn,11205,Residential,Intensive Residential,Operational,37
2015,587,"New York Therapeutic Communities, Inc.",7191,Serendipity II Madeline Randers Ctr IR,Kings,303,944 Bedford Ave,Brooklyn,11205,Residential,Intensive Residential,Operational,35
2019,587,"New York Therapeutic Communities, Inc.",7191,Serendipity II Madeline Randers Ctr IR,Kings,303,944 Bedford Ave,Brooklyn,11205,Residential,Intensive Residential,Operational,23
2010,587,"New York Therapeutic Communities, Inc.",51994,"NY Therapeutic Communities, Inc. OP",Kings,316,2071 Fulton St,Brooklyn,11233,Outpatient,Outpatient Clinic,Operational,98
2015,587,"New York Therapeutic Communities, Inc.",51994,"NY Therapeutic Communities, Inc. OP",Kings,316,2071 Fulton St,Brooklyn,11233,Outpatient,Outpatient Clinic,Operational,45
2019,587,"New York Therapeutic Communities, Inc.",51994,"NY Therapeutic Communities, Inc. OP",Kings,316,2071 Fulton St,Brooklyn,11233,Outpatient,Outpatient Clinic,Operational,46
2010,587,"New York Therapeutic Communities, Inc.",52057,"NY Therapeutic Communities, Inc. OP",Queens,412,162‐24 Jamaica Ave,Jamaica,11432,Outpatient,Outpatient Clinic,Operational,54
2015,587,"New York Therapeutic Communities, Inc.",52057,"NY Therapeutic Communities, Inc. OP",Queens,412,162‐24 Jamaica Ave,Jamaica,11432,Outpatient,Outpatient Clinic,Operational,36
2019,587,"New York Therapeutic Communities, Inc.",52057,"NY Therapeutic Communities, Inc. OP",Queens,412,162‐24 Jamaica Ave,Jamaica,11432,Outpatient,Outpatient Clinic,Operational,46
2010,587,"New York Therapeutic Communities, Inc.",52234,"New York Therapeutic Communities, Inc.",New York,101,346 Broadway,New York,10013,Outpatient,Outpatient Clinic,Closed,16
2010,610,"Anchor House, Inc.",1593,"Anchor House, Inc. IR",Kings,308,976 Park Pl,Brooklyn,11213,Residential,Intensive Residential,Closed,15
2015,610,"Anchor House, Inc.",1593,"Anchor House, Inc. IR",Kings,308,976 Park Pl,Brooklyn,11213,Residential,Intensive Residential,Closed,24
2010,610,"Anchor House, Inc.",7075,"Anchor House, Inc IR 1",Kings,308,1041‐1047 Bergen St,Brooklyn,11216,Residential,Intensive Residential,Closed,48
2015,610,"Anchor House, Inc.",7075,"Anchor House, Inc IR 1",Kings,308,1041‐1047 Bergen St,Brooklyn,11216,Residential,Intensive Residential,Closed,43
2019,610,"Anchor House, Inc.",53207,"Anchor House, Inc. SRR",Kings,308,976 Park Pl,Brooklyn,11213,Residential,820 Stabil Rehab Reintegration,Operational,17
2019,610,"Anchor House, Inc.",53208,"Anchor House, Inc. SRR 1",Kings,308,1041‐1047 Bergen St,Brooklyn,11216,Residential,820 Stabil Rehab Reintegration,Operational,44
2010,1024,"Damon House New York, Inc.",2954,"Damon House New York, Inc. CR",Kings,303,802 Kent Ave,Brooklyn,11205,Residential,Community Residential,Closed,63
2015,1024,"Damon House New York, Inc.",2954,"Damon House New York, Inc. CR",Kings,303,802 Kent Ave,Brooklyn,11205,Residential,Community Residential,Closed,44
2010,1024,"Damon House New York, Inc.",6334,"Damon House New York, Inc. CR 1",Kings,304,1154‐1156 Dekalb Ave,Brooklyn,11221,Residential,Community Residential,Closed,76
2015,1024,"Damon House New York, Inc.",6334,"Damon House New York, Inc. CR 1",Kings,304,1154‐1156 Dekalb Ave,Brooklyn,11221,Residential,Community Residential,Closed,88
2010,1249,"Vida Family Services, Inc.",7179,Vida Family Services OP,New York,111,127 E 105th St,New York,10029,Outpatient,Outpatient Clinic,Operational,52
2015,1249,"Vida Family Services, Inc.",7179,Vida Family Services OP,New York,111,127 E 105th St,New York,10029,Outpatient,Outpatient Clinic,Operational,33
2019,1249,"Vida Family Services, Inc.",7179,Vida Family Services OP,New York,111,127 E 105th St,New York,10029,Outpatient,Outpatient Clinic,Operational,27
2010,1522,"El Regreso, Inc.",6093,El Regreso IR,Bronx,201,834 E 156th St,Bronx,10455,Residential,Intensive Residential,Operational,50
2015,1522,"El Regreso, Inc.",6093,El Regreso IR,Bronx,201,834 E 156th St,Bronx,10455,Residential,Intensive Residential,Operational,51
2019,1522,"El Regreso, Inc.",6093,El Regreso IR,Bronx,201,834 E 156th St,Bronx,10455,Residential,Intensive Residential,Operational,52
2010,1522,"El Regreso, Inc.",6321,"El Regreso, Inc. OP",Kings,301,141‐143 S 3rd St,Brooklyn,11211,Outpatient,Outpatient Clinic,Operational,48
2015,1522,"El Regreso, Inc.",6321,"El Regreso, Inc. OP",Kings,301,141‐143 S 3rd St,Brooklyn,11211,Outpatient,Outpatient Clinic,Operational,54
2019,1522,"El Regreso, Inc.",6321,"El Regreso, Inc. OP",Kings,301,141‐143 S 3rd St,Brooklyn,11211,Outpatient,Outpatient Clinic,Operational,40
2010,1522,"El Regreso, Inc.",51995,El Regreso IR 1,Kings,301,141‐143 S 3rd St,Brooklyn,11211,Residential,Intensive Residential,Operational,34
2015,1522,"El Regreso, Inc.",51995,El Regreso IR 1,Kings,301,141‐143 S 3rd St,Brooklyn,11211,Residential,Intensive Residential,Operational,32
2019,1522,"El Regreso, Inc.",51995,El Regreso IR 1,Kings,301,141‐143 S 3rd St,Brooklyn,11211,Residential,Intensive Residential,Operational,36
2010,1523,"Fortune Society, Inc.",6287,Fortune Society OP,Queens,401,29‐76 Northern Blvd,Long Island City,11101,Outpatient,Outpatient Clinic,Operational,153
2015,1523,"Fortune Society, Inc.",6287,Fortune Society OP,Queens,401,29‐76 Northern Blvd,Long Island City,11101,Outpatient,Outpatient Clinic,Operational,124
2019,1523,"Fortune Society, Inc.",6287,Fortune Society OP,Queens,401,29‐76 Northern Blvd,Long Island City,11101,Outpatient,Outpatient Clinic,Operational,116
2010,1525,"Turning Point Brooklyn, Inc.",7182,"Turning Point Brooklyn, Inc. OP",Kings,307,5220 4th Ave,Brooklyn,11220,Outpatient,Outpatient Clinic,Closed,209
2015,1525,"Turning Point Brooklyn, Inc.",7182,"Turning Point Brooklyn, Inc. OP",Kings,307,5220 4th Ave,Brooklyn,11220,Outpatient,Outpatient Clinic,Closed,81
2019,1738,"Bailey House, Inc.",52933,"Bailey House, Inc. OP",New York,111,1751 Park Ave,New York,10035,Outpatient,Outpatient Clinic,Operational,69
2010,1823,"Bliss‐Poston The Second Wind, Inc.",5111,Bliss‐Poston The Second Wind Inc. OP,New York,105,928 Broadway,New York,10010,Outpatient,Outpatient Clinic,Operational,30
2015,1823,"Bliss‐Poston The Second Wind, Inc.",5111,Bliss‐Poston The Second Wind Inc. OP,New York,105,928 Broadway,New York,10010,Outpatient,Outpatient Clinic,Operational,51
2019,1823,"Bliss‐Poston The Second Wind, Inc.",5111,Bliss‐Poston The Second Wind Inc. OP,New York,105,928 Broadway,New York,10010,Outpatient,Outpatient Clinic,Operational,16
2010,1857,"BASICS, Bronx Addiction Services",6959,Franklin House IR,Bronx,203,1068 Franklin Ave,Bronx,10456,Residential,Intensive Residential,Closed,125
2015,1857,"BASICS, Bronx Addiction Services",6959,Franklin House IR,Bronx,203,1068 Franklin Ave,Bronx,10456,Residential,Intensive Residential,Closed,124
2019,1857,"BASICS, Bronx Addiction Services",6959,Franklin House IR,Bronx,203,1068 Franklin Ave,Bronx,10456,Residential,Intensive Residential,Closed,34
